ID,Type,menu item,Meal Category (from menu item),Meal Type (from menu item),Calories,Fats,Carbs,Protein,Description,Name,Published,Is featured?,Visibility in catalog,Short description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: neve_meta_enable_content_width,Meta: neve_meta_content_width
127,simple,BBQ Chicken Plate,,Meal,727,10,35,56,"Bbq chicken, roasted brussels sprouts, and roasted red potatoes",BBQ Chicken Plate,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
1,simple,Beef and Broccoli,,Meal,625,20,38,49,Asian style beef and broccoli,Beef and Broccoli,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
19,simple,Black Bean Cakes,,Meal,641,15,55,38,Black bean cakes with quinoa and fresh tomato salad,Black Bean Cakes,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
6,simple,Black Bean Cakes 1 lb.,,Bulk,395,45,75,85,One pound of roasted garlic black bean cakes,Black Bean Cakes 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
2,simple,Blackened Salmon 1 lb.,,Bulk,743,22,10,96,One pound of Blackened Seasoned Baked Salmon,Blackened Salmon 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
99,simple,Blackened Seasoned Baked Salmon,,Meal,613,35,13,45,"Baked blackened seasoned salmon, grilled veggies, white rice",Blackened Seasoned Baked Salmon,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
94,simple,Cajan Seasoned Tilapia,,Meal,516,10,28,40,Tilapia seasoned in cajan spices with rice and broccoli,Cajan Seasoned Tilapia,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
103,simple,Chicken Fajitas,,Meal,703,15,30,55,Sautéed chicken fajitas with pepper and onions and tortilla,Chicken Fajitas,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
119,simple,Chickpea Salad Plate,,Meal,630,18,32,35,Chickpea salad with fresh herbs drizzled with cilantro cream sauce and vegetable slaw,Chickpea Salad Plate,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
120,simple,Curry Chicken Stew,,Meal,821,20,30,60,Chicken stewed in a curry sauce with white rice,Curry Chicken Stew,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
51,simple,Garlic Herb Shrimp 1 lb.,,Bulk,660,25,10,123,One pound of sautéed garlic herb shrimp in lemon wine sauce,Garlic Herb Shrimp 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
38,simple,Lemon Herb Chicken,,Meal,721,15,40,55,Grilled lemon herb chicken with grilled vegetables and white rice,Lemon Herb Chicken,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
80,simple,Lemon Herb Chicken 1 lb.,,Bulk,715,15,0,112,One pound of Lemon Herb Chicken grilled to perfection,Lemon Herb Chicken 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
91,simple,Roasted Cauliflower and Broccoli,,Meal,479,12,25,25,Cauliflower and broccoli roasted in a house spices with white rice and cream sauce,Roasted Cauliflower and Broccoli,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
42,simple,Roasted Tofu 1 lb.,,Bulk,663,20,32,55,One pound of tofu roasted in house mix,Roasted Tofu 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
61,simple,Roasted Whole Chicken,,Meal,750,23,41,50,A whole chicken roasted to perfection with white rice and mixed vegetables,Roasted Whole Chicken,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
52,simple,Seasoned Beef Patties 1 lb.,,Bulk,800,65,0,83,One pound of ground beef patties seasoned with spices,Seasoned Beef Patties 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
55,simple,Sirloin Steak 1 lb.,,Bulk,755,65,0,110,One pound of Grilled Sirloin Steak with house seasoning mix,Sirloin Steak 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
118,simple,Southern BBQ Chicken 1 lb.,,Bulk,596,12,15,112,One pound of grilled BBQ chicken,Southern BBQ Chicken 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
57,simple,Sweet and Sour Tofu,,Meal,627,24,34,32,Tofu drenched in sweet and tangy sour sauce,Sweet and Sour Tofu,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
32,simple,Sweet and Sour Tofu 1 lb.,,Bulk,675,20,35,55,One pound of tofu drenched in sweet and tangy sour sauce,Sweet and Sour Tofu 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
128,simple,Teriyaki Chicken 1 lb.,,Bulk,650,20,24,112,Chunks of sautéed chicken in a teriyaki sauce,Teriyaki Chicken 1 lb.,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
129,simple,Teriyaki Chicken Fried Rice,,Meal,746,22,40,60,Chicken teriyaki fried rice in asian spices,Teriyaki Chicken Fried Rice,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100
130,simple,Veggie Curry Lentil Stew,,Meal,815,14,52,40,Veggies and lentils stewed in a curry sauce,Veggie Curry Lentil Stew,1,0,visible,,,,,,,,,0,0,,,,,,,,,,,,https://felinefineclothing.com/stickers/adpss/1.jpg,,,,,,,0,off,100